customerid,campaign,pdays,previous,poutcome,y
1,1,-1,0,unknown,no
2,1,-1,0,unknown,no
3,1,-1,0,unknown,no
4,1,-1,0,unknown,no
5,1,-1,0,unknown,no
6,1,-1,0,unknown,no
7,1,-1,0,unknown,no
8,1,-1,0,unknown,no
9,1,-1,0,unknown,no
10,1,-1,0,unknown,no
11,1,-1,0,unknown,no
12,1,-1,0,unknown,no
13,1,-1,0,unknown,no
14,1,-1,0,unknown,no
15,1,-1,0,unknown,no
16,1,-1,0,unknown,no
17,1,-1,0,unknown,no
18,1,-1,0,unknown,no
19,1,-1,0,unknown,no
20,1,-1,0,unknown,no
21,1,-1,0,unknown,no
22,1,-1,0,unknown,no
23,1,-1,0,unknown,no
24,1,-1,0,unknown,no
25,1,-1,0,unknown,no
26,1,-1,0,unknown,no
27,1,-1,0,unknown,no
28,1,-1,0,unknown,no
29,2,-1,0,unknown,no
30,1,-1,0,unknown,no
31,1,-1,0,unknown,no
32,1,-1,0,unknown,no
33,1,-1,0,unknown,no
34,1,-1,0,unknown,no
35,1,-1,0,unknown,no
36,1,-1,0,unknown,no
37,1,-1,0,unknown,no
38,1,-1,0,unknown,no
39,1,-1,0,unknown,no
40,1,-1,0,unknown,no
41,1,-1,0,unknown,no
42,2,-1,0,unknown,no
43,1,-1,0,unknown,no
44,1,-1,0,unknown,no
45,1,-1,0,unknown,no
46,1,-1,0,unknown,no
47,1,-1,0,unknown,no
48,2,-1,0,unknown,no
49,1,-1,0,unknown,no
50,1,-1,0,unknown,no
51,1,-1,0,unknown,no
52,1,-1,0,unknown,no
53,1,-1,0,unknown,no
54,1,-1,0,unknown,no
55,1,-1,0,unknown,no
56,1,-1,0,unknown,no
57,1,-1,0,unknown,no
58,1,-1,0,unknown,no
59,1,-1,0,unknown,no
60,1,-1,0,unknown,no
61,1,-1,0,unknown,no
62,1,-1,0,unknown,no
63,1,-1,0,unknown,no
64,1,-1,0,unknown,no
65,1,-1,0,unknown,no
66,1,-1,0,unknown,no
67,1,-1,0,unknown,no
68,1,-1,0,unknown,no
69,2,-1,0,unknown,no
70,1,-1,0,unknown,no
71,1,-1,0,unknown,no
72,1,-1,0,unknown,no
73,1,-1,0,unknown,no
74,1,-1,0,unknown,no
75,1,-1,0,unknown,no
76,1,-1,0,unknown,no
77,1,-1,0,unknown,no
78,1,-1,0,unknown,no
79,1,-1,0,unknown,no
80,1,-1,0,unknown,no
81,1,-1,0,unknown,no
82,1,-1,0,unknown,no
83,1,-1,0,unknown,no
84,1,-1,0,unknown,yes
85,1,-1,0,unknown,no
86,2,-1,0,unknown,no
87,1,-1,0,unknown,yes
88,1,-1,0,unknown,yes
89,2,-1,0,unknown,no
90,2,-1,0,unknown,no
91,1,-1,0,unknown,no
92,2,-1,0,unknown,no
93,1,-1,0,unknown,no
94,1,-1,0,unknown,no
95,1,-1,0,unknown,no
96,1,-1,0,unknown,no
97,1,-1,0,unknown,no
98,1,-1,0,unknown,no
99,1,-1,0,unknown,no
100,1,-1,0,unknown,no
101,1,-1,0,unknown,no
102,1,-1,0,unknown,no
103,1,-1,0,unknown,no
104,3,-1,0,unknown,no
105,1,-1,0,unknown,no
106,1,-1,0,unknown,no
107,1,-1,0,unknown,no
108,1,-1,0,unknown,no
109,1,-1,0,unknown,no
110,2,-1,0,unknown,no
111,1,-1,0,unknown,no
